Aluguel,Extras,Localização,Tamanho,Quartos,Banheiros,Link,Bairro
R$ 2.300 /mês,0.0,"Rua Brisa do Mar - Ponta Negra, Natal - RN",60,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-60m2-aluguel-RS2300-id-2747527323/,Ponta Negra
R$ 2.000 /mês,0.0,"Avenida Porto de Pedras - Neópolis, Natal - RN",55,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-neopolis-bairros-natal-com-garagem-55m2-aluguel-RS2000-id-2747290700/,Neópolis
R$ 1.900 /mês,380.0,"Rua Edson Teixeira da Silva, 270 - Ponta Negra, Natal - RN",54,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-54m2-venda-RS260000-id-2655324354/,Ponta Negra
R$ 1.600 /mês,743.0,"Avenida Rodrigues Alves, 724 - Petrópolis, Natal - RN",54,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-petropolis-bairros-natal-com-garagem-54m2-aluguel-RS1600-id-2559771804/,Petrópolis
R$ 1.400 /mês,450.0,"Rua dos Pintassilgos - Pitimbu, Natal - RN",56,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pitimbu-bairros-natal-com-garagem-56m2-aluguel-RS1400-id-2746855617/,Pitimbu
R$ 2.000 /mês,0.0,"Rua Professor Pedro Pinheiro de Souza, 95 - Ponta Negra, Natal - RN",55,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-55m2-aluguel-RS2000-id-2747396201/,Ponta Negra
R$ 2.500 /mês,0.0,"Rua Professora Francisca Ivone Cavalcanti, 75 - Ponta Negra, Natal - RN",58,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-58m2-aluguel-RS2500-id-2622753127/,Ponta Negra
R$ 2.100 /mês,1.0,"Rua Doutor Nizário Gurgel, 65 - Tirol, Natal - RN",60,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tirol-bairros-natal-com-garagem-60m2-aluguel-RS2100-id-2747382807/,Tirol
"R$ 1.200 /mês
Preço abaixo do mercado",503.0,"Avenida Porto de Pedras, 4500 - Neópolis, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-neopolis-bairros-natal-com-garagem-56m2-aluguel-RS1200-id-2746228609/,Neópolis
R$ 2.200 /mês,0.0,"Rua Antônio Madruga, 1959 - Capim Macio, Natal - RN",55,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-capim-macio-bairros-natal-com-garagem-55m2-aluguel-RS2200-id-2745952017/,Capim Macio
R$ 1.800 /mês,0.0,"Avenida Engenheiro Roberto Freire, 4876 - Ponta Negra, Natal - RN",95,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ponta-negra-bairros-natal-com-garagem-95m2-aluguel-RS1800-id-2747406709/,Ponta Negra
R$ 1.750 /mês,0.0,"Rua Seridó, 486 - Petrópolis, Natal - RN",70,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-petropolis-bairros-natal-com-garagem-70m2-aluguel-RS1750-id-2746451916/,Petrópolis
R$ 2.150 /mês,0.0,"Rua da Campina, 140 - Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-56m2-aluguel-RS2150-id-2747235248/,Ponta Negra
"R$ 1.468 /mês
Preço abaixo do mercado",532.0,"Lagoa Nova, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-nova-bairros-natal-com-garagem-56m2-aluguel-RS1468-id-2744604494/,Lagoa Nova
R$ 2.300 /mês,0.0,"Rua da Saudade, 905 - Nova Descoberta, Natal - RN",115,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-nova-descoberta-bairros-natal-com-garagem-115m2-aluguel-RS2300-id-2747405412/,Nova Descoberta
"R$ 800 /mês
Preço abaixo do mercado",470.0,"Rua Minas Novas, 100 - Neópolis, Natal - RN",54,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-neopolis-bairros-natal-com-garagem-54m2-aluguel-RS800-id-2745251311/,Neópolis
"R$ 1.300 /mês
Preço abaixo do mercado",615.0,"Rua Joaquim Inácio, 1801 - Tirol, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tirol-bairros-natal-com-garagem-56m2-aluguel-RS1300-id-2743038320/,Tirol
R$ 1.400 /mês,306.0,"Avenida dos Caiapós, 123 - Pitimbu, Natal - RN",49,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pitimbu-bairros-natal-com-garagem-49m2-aluguel-RS1400-id-2737646636/,Pitimbu
R$ 1.400 /mês,0.0,"Rua Rio Paranapanema, 7930 - Pitimbu, Natal - RN",57,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pitimbu-bairros-natal-com-garagem-57m2-aluguel-RS1400-id-2746673442/,Pitimbu
R$ 2.400 /mês,0.0,"Avenida Governador Juvenal Lamartine, 1012 - Tirol, Natal - RN",58,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tirol-bairros-natal-com-garagem-58m2-aluguel-RS2400-id-2691025479/,Tirol
R$ 2.180 /mês,1.0,"Rua Sebastião Barreto, 33 - Neópolis, Natal - RN",54,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-neopolis-bairros-natal-com-garagem-54m2-aluguel-RS2180-id-2744485704/,Neópolis
R$ 550 /mês,750.0,"Redinha, Natal - RN",75,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-redinha-bairros-natal-com-garagem-75m2-aluguel-RS550-id-2747191328/,Redinha
R$ 1.900 /mês,0.0,"Rua General Gustavo Cordeiro de Faria, 345 - Petrópolis, Natal - RN",55,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-petropolis-bairros-natal-com-garagem-55m2-aluguel-RS1900-id-2746747939/,Petrópolis
R$ 1.700 /mês,0.0,"Rua Missionário Joel Carlson, 1915 - Capim Macio, Natal - RN",55,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-capim-macio-bairros-natal-com-garagem-55m2-aluguel-RS1700-id-2678157397/,Capim Macio
"R$ 2.500 /mês
Preço abaixo do mercado",0.0,"Rua Teotônio Freire, 75 - Ribeira, Natal - RN",75,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ribeira-bairros-natal-com-garagem-75m2-venda-RS333000-id-2628837579/,Ribeira
R$ 1.100 /mês,380.0,"Rua Rio Paranapanema, 7930 - Pitimbu, Natal - RN",52,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pitimbu-bairros-natal-com-garagem-52m2-aluguel-RS1100-id-2740374595/,Pitimbu
R$ 2.800 /mês,0.0,"Rua do Golfinho, 350 - Ponta Negra, Natal - RN",59,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-59m2-aluguel-RS2800-id-2736845043/,Ponta Negra
R$ 2.100 /mês,0.0,"Rua Professor Pedro Pinheiro de Souza, 95 - Ponta Negra, Natal - RN",54,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-54m2-aluguel-RS2100-id-2747683920/,Ponta Negra
R$ 3.000 /mês,0.0,"Rua da Campina - Ponta Negra, Natal - RN",55,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-55m2-aluguel-RS3000-id-2718901753/,Ponta Negra
R$ 1.450 /mês,770.0,"Rua Ataulfo Alves, 1898 - Candelária, Natal - RN",65,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-candelaria-bairros-natal-com-garagem-65m2-aluguel-RS1450-id-2743601185/,Candelária
R$ 2.500 /mês,0.0,"Rua Vereador Manoel Sátiro, 248 - Ponta Negra, Natal - RN",55,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-55m2-aluguel-RS2500-id-2733523129/,Ponta Negra
R$ 2.700 /mês,0.0,"Rua Professora Dirce Coutinho, 1890 - Capim Macio, Natal - RN",57,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-capim-macio-bairros-natal-com-garagem-57m2-aluguel-RS2700-id-2526552677/,Capim Macio
R$ 1.400 /mês,307.0,"Avenida dos Caiapós, 123 - Pitimbu, Natal - RN",49,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pitimbu-bairros-natal-com-garagem-49m2-aluguel-RS1400-id-2747727943/,Pitimbu
R$ 2.000 /mês,0.0,"Rua Antônio Madruga, 1959 - Capim Macio, Natal - RN",55,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-capim-macio-bairros-natal-com-garagem-55m2-aluguel-RS2000-id-2695765192/,Capim Macio
R$ 1.750 /mês,1.0,"Rua da Campina, 140 - Ponta Negra, Natal - RN",56,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-56m2-aluguel-RS1750-id-2735555157/,Ponta Negra
"R$ 2.500 /mês
Preço abaixo do mercado",0.0,"Rua Doutor Osvaldo Fortes do Rego, 155 - Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-56m2-aluguel-RS2500-id-2741607754/,Ponta Negra
R$ 2.900 /mês,0.0,"Rua Poeta Jorge Fernandes, 2205 - Ponta Negra, Natal - RN",59,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-59m2-aluguel-RS2900-id-2740151300/,Ponta Negra
R$ 2.500 /mês,0.0,"Rua Potengi, 521 - Petrópolis, Natal - RN",60,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-petropolis-bairros-natal-com-garagem-60m2-venda-RS250000-id-2698423699/,Petrópolis
R$ 2.500 /mês,0.0,"Rua das Algas, 2150 - Ponta Negra, Natal - RN",40,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-ponta-negra-bairros-natal-com-garagem-40m2-aluguel-RS2500-id-2504364889/,Ponta Negra
"R$ 2.000 /mês
Preço abaixo do mercado",0.0,"Rua Doutor Osvaldo Fortes do Rego, 155 - Ponta Negra, Natal - RN",57,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-57m2-aluguel-RS2000-id-2746151506/,Ponta Negra
R$ 2.000 /mês,0.0,"Rua Teatrólogo Meira Pires, 1993 - Capim Macio, Natal - RN",116,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capim-macio-bairros-natal-com-garagem-116m2-aluguel-RS2000-id-2742814089/,Capim Macio
R$ 2.700 /mês,0.0,"Rua Desembargador Dionísio Filgueira, 788 - Petrópolis, Natal - RN",44,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-petropolis-bairros-natal-com-garagem-44m2-aluguel-RS2700-id-2747146393/,Petrópolis
R$ 1.600 /mês,770.0,"Rua Ataulfo Alves, 1898 - Candelária, Natal - RN",65,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-candelaria-bairros-natal-com-garagem-65m2-aluguel-RS1600-id-2744888631/,Candelária
R$ 950 /mês,268.0,"Planalto, Natal - RN",65,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-planalto-bairros-natal-com-garagem-65m2-aluguel-RS950-id-2746231710/,Planalto
R$ 2.700 /mês,0.0,"Avenida Porto de Pedras, 4500 - Neópolis, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-neopolis-bairros-natal-com-garagem-56m2-aluguel-RS2700-id-2743533447/,Neópolis
R$ 1.832 /mês,468.0,"Rua Professor Pedro Pinheiro de Souza, 95 - Ponta Negra, Natal - RN",53,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-53m2-aluguel-RS1832-id-2745555813/,Ponta Negra
R$ 1.300 /mês,0.0,"Rua Professor Boanerges Soares, 155 - Pitimbu, Natal - RN",55,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pitimbu-bairros-natal-com-garagem-55m2-aluguel-RS1300-id-2675662597/,Pitimbu
R$ 1.500 /mês,1230.0,"Rua da Lagosta, 466 - Ponta Negra, Natal - RN",96,2 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-96m2-aluguel-RS1500-id-2745246912/,Ponta Negra
